23,red-toadstool-RB,317,927,3,-0.424098
13,dragon_green_RB,677,550,4,-0.424098
5,blue-flowers_RB,828,840,1,-0.909091
5,blue-flowers_RB,1092,825,7,1.1
20,pink-butterfly_RB,1008,502,3,2.85312
20,pink-butterfly_RB,1188,604,5,-2.85312
6,brown-bird_RB,1134,275,7,1.94872
1,black_berries_RB,1492,370,6,1.0
8,brown-squirrel_RB,1407,867,7,2.14359
9,brown-toadstool_RB,2112,945,2,1.0
24,squirrel_RB,2231,308,5,0.466507
10,bunny_white_RB,2496,775,5,1.331
2,blue_bells_RB,2778,733,6,1.0
2,blue_bells_RB,2898,751,5,1.0
7,brown-bunny_RB,3270,801,4,1.0,XXXXXXXXXXXX
2,blue_bells_RB,3438,772,3,-1.0
12,deer_RB,3639,698,1,3.13843
21,pink-flowers_RB,3570,963,2,1.0
9,brown-toadstool_RB,3906,795,8,2.14359
22,purple-fern_RB,4086,912,3,1.0
11,butterfly_yellow_RB,4206,849,2,1.0,XXXXXXXXXXXX
19,green-fern_RB,4360,892,1,1.77156
3,blue-bird_RB,4448,217,6,0.620921
11,butterfly_yellow_RB,4578,550,1,1.0,XXXXXXXXXXXXX
11,butterfly_yellow_RB,4844,771,6,1.0,XXXXXXXXXXXXX
19,green-fern_RB,4992,933,4,-1.21
5,blue-flowers_RB,5342,699,3,1.0
25,strawberry_RB,5415,967,5,0.826446
25,strawberry_RB,5533,957,2,-0.909091
25,strawberry_RB,5809,967,1,1.1
16,fish2_green_RB,5642,688,7,1.0,XXXXXXXXXXXXXXXX
15,fish_blue_RB,5815,896,4,1.77156
21,pink-flowers_RB,6113,688,6,1.21
18,frog_RB,6144,889,7,1.0
1,black_berries_RB,6241,209,4,-1.0
1,black_berries_RB,6751,318,2,1.4641
4,blue-dragon_RB,6727,628,6,1.0,XXXXXXXXXXXXXX
22,purple-fern_RB,6931,946,7,-0.909091
23,red-toadstool-RB,7471,949,1,1.0
12,deer_RB,8011,612,2,3.13843
19,green-fern_RB,8584,739,4,1.0
17,fox_glove_RB,8806,715,5,1.0
6,brown-bird_RB,8580,329,8,1.0,XXXXXXXXXXXXX


